method,path,authentication,permission,property_and_restaurant_scope,csrf,rate_limit,input_model_and_parameters,output_model,handler_calls_side_effect_hints,audit_event,handler,source
PUT,/api/admin/properties/{property_id}/guardrails,Admin session cookie required.,security.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GuardrailConfigPayload: config:object[any] (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.put on successful response (<400),update_property_guardrails,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/guardrails/diagnostics,Admin session cookie required.,security.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,property_guardrail_diagnostics,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/hospitality,Admin session cookie required.,restaurant.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),hospitality.overview,No admin audit event identified at route boundary; domain/helper events may apply.,hospitality_overview,app/main.py route + middleware + app/admin_route_policies.json
PUT,/api/admin/properties/{property_id}/hospitality/facilities,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.put on successful response (<400),upsert_facility_profile,app/main.py route + middleware + app/admin_route_policies.json
DELETE,/api/admin/properties/{property_id}/hospitality/facilities/{facility_id},Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; facility_id(path):string required,dict (handler-defined shape),hospitality.delete_facility_profile,middleware: api.delete on successful response (<400),delete_facility_profile,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/improvement-loop,Admin session cookie required.,ai.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,get_improvement_loop,app/main.py route + middleware + app/admin_route_policies.json
PUT,/api/admin/properties/{property_id}/improvement-loop,Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: ImprovementLoopConfigPayload: objective:string default=; satisfaction_criteria:string default=; evidence:string default=; provider_id:string default=local; model:string default=; approval_mode:string default=manual; interval_seconds:integer default=60; max_iterations:integer default=0; max_consecutive_failures:integer default=3 (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.put on successful response (<400),save_improvement_loop_config,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/improvement-loop/decision,Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: ImprovementLoopDecisionPayload: decision:string [pattern=^(approved|revision_requested)$] required; feedback:string default= (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),decide_improvement_loop,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/improvement-loop/pause,Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),pause_improvement_loop,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/improvement-loop/resume,Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),resume_improvement_loop,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/improvement-loop/run-next,Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),run_single_improvement_loop_iteration,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/improvement-loop/satisfied,Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),satisfy_improvement_loop,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/improvement-loop/start,Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),start_improvement_loop,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/improvement-loop/stop,Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),stop_improvement_loop,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/intro,Admin session cookie required.,concierge.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,get_intro,app/main.py route + middleware + app/admin_route_policies.json
PUT,/api/admin/properties/{property_id}/intro,Admin session cookie required.,concierge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.put on successful response (<400),save_intro,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/intro/assets/{filename},Admin session cookie required.,concierge.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required; filename(path):string required,FileResponse (handler-selected file/media type),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,intro_asset,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/intro/upload,Admin session cookie required.,concierge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: UploadPayload: filename:string [1..220] required; content_type:string [1..120] required; content_base64:string [1..∞] required; width:number | null; height:number | null (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),upload_intro,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/journey-events,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required,dict (handler-defined shape),hospitality.record_journey_event,middleware: api.post on successful response (<400),record_journey_event,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/knowledge,Admin session cookie required.,knowledge.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,list_property_knowledge,app/main.py route + middleware + app/admin_route_policies.json
PUT,/api/admin/properties/{property_id}/knowledge,Admin session cookie required.,knowledge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: KnowledgePayload: item_id:string | null; kind:string [pattern=^(entry|faq)$] default=entry; title:string [−∞..200] default=; question:string [−∞..500] default=; answer:string [−∞..12000] default=; body:string [−∞..50000] default=; enabled:boolean default=True (required body); property_id(path):string required,dict (handler-defined shape),operations.save_knowledge,middleware: api.put on successful response (<400),save_property_knowledge,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/knowledge/conflicts,Admin session cookie required.,knowledge.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,knowledge_conflicts,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/knowledge/conflicts/{conflict_id}/resolve,Admin session cookie required.,knowledge.publish,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: ConflictResolutionPayload: winner_id:string required; note:string default= (required body); property_id(path):string required; conflict_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,explicit: knowledge.conflict_resolved; middleware: api.post on successful response (<400),resolve_knowledge_conflict,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/knowledge/documents,Admin session cookie required.,knowledge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: UploadPayload: filename:string [1..220] required; content_type:string [1..120] required; content_base64:string [1..∞] required; width:number | null; height:number | null (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),upload_knowledge_document,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/knowledge/health,Admin session cookie required.,knowledge.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,knowledge_health,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/knowledge/items,Admin session cookie required.,knowledge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: KnowledgeDraftPayload: title:string [1..200] required; content:string [1..4000] required; category:string default=Other (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,explicit: knowledge.draft_created; middleware: api.post on successful response (<400),create_managed_knowledge_draft,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/knowledge/items/{item_id},Admin session cookie required.,knowledge.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required; item_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,get_managed_knowledge_item,app/main.py route + middleware + app/admin_route_policies.json
PATCH,/api/admin/properties/{property_id}/knowledge/items/{item_id},Admin session cookie required.,knowledge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: KnowledgeItemUpdatePayload: title:string | null; content:string | null; category:string | null; visibility:string | null; role_slug:string | null; effective_at:integer | null; expires_at:integer | null (required body); property_id(path):string required; item_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,explicit: knowledge.item_edited; middleware: api.patch on successful response (<400),edit_managed_knowledge_item,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/knowledge/items/{item_id}/approve,Admin session cookie required.,knowledge.publish,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; item_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),transition_managed_knowledge_item,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/knowledge/items/{item_id}/archive,Admin session cookie required.,knowledge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; item_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),transition_managed_knowledge_item,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/knowledge/items/{item_id}/publish,Admin session cookie required.,knowledge.publish,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; item_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),transition_managed_knowledge_item,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/knowledge/items/{item_id}/unpublish,Admin session cookie required.,knowledge.publish,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; item_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),transition_managed_knowledge_item,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/knowledge/managed,Admin session cookie required.,knowledge.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required; source_id(query):string | null; status(query):string | null; q(query):string default=,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,managed_knowledge,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/knowledge/sources,Admin session cookie required.,knowledge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: UploadPayload: filename:string [1..220] required; content_type:string [1..120] required; content_base64:string [1..∞] required; width:number | null; height:number | null (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,explicit: knowledge.source_uploaded; middleware: api.post on successful response (<400),create_knowledge_source,app/main.py route + middleware + app/admin_route_policies.json
DELETE,/api/admin/properties/{property_id}/knowledge/sources/{source_id},Admin session cookie required.,knowledge.delete,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; source_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,explicit: knowledge.source_deleted; middleware: api.delete on successful response (<400),delete_knowledge_source,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/knowledge/sources/{source_id},Admin session cookie required.,knowledge.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required; source_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,get_knowledge_source,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/knowledge/sources/{source_id}/download,Admin session cookie required.,knowledge.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required; source_id(path):string required,FileResponse (handler-selected file/media type),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,download_knowledge_source,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/knowledge/sources/{source_id}/replace,Admin session cookie required.,knowledge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: UploadPayload: filename:string [1..220] required; content_type:string [1..120] required; content_base64:string [1..∞] required; width:number | null; height:number | null (required body); property_id(path):string required; source_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,explicit: knowledge.source_replaced; middleware: api.post on successful response (<400),replace_knowledge_source,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/knowledge/sources/{source_id}/retry,Admin session cookie required.,knowledge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; source_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),retry_knowledge_source,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/knowledge/sources/{source_id}/supersede,Admin session cookie required.,knowledge.publish,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; source_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,explicit: knowledge.source_superseded; middleware: api.post on successful response (<400),supersede_knowledge_source,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/knowledge/sources/{source_id}/versions,Admin session cookie required.,knowledge.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required; source_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,get_knowledge_source_versions,app/main.py route + middleware + app/admin_route_policies.json
DELETE,/api/admin/properties/{property_id}/knowledge/{item_id},Admin session cookie required.,knowledge.delete,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; item_id(path):string required,dict (handler-defined shape),operations.delete_knowledge,middleware: api.delete on successful response (<400),delete_property_knowledge,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/location/live,Admin session cookie required.,analytics.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,live_location_analytics,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/location/observations,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: ObservationPayload: raw_mac:string | null; device_id:string | null; stay_id:string | null; access_point_identifier:string [1..160] required; observed_at:integer | null (required body); property_id(path):string required,dict (handler-defined shape),location_analytics.record_observation,middleware: api.post on successful response (<400),record_location_observation,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/location/report,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: AnalyticsQuery: start_at:integer required; end_at:integer required; filters:object[any] (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),location_report,app/main.py route + middleware + app/admin_route_policies.json
PUT,/api/admin/properties/{property_id}/menu-items/{item_id},Admin session cookie required.,restaurant.menu.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Restaurant resolved from resource ID, then assignment checked by handler.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required; item_id(path):string required,dict (handler-defined shape),hospitality.update_menu_item,middleware: api.put on successful response (<400),update_menu_item,app/main.py route + middleware + app/admin_route_policies.json
PUT,/api/admin/properties/{property_id}/menus/{menu_id},Admin session cookie required.,restaurant.menu.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Restaurant resolved from resource ID, then assignment checked by handler.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required; menu_id(path):string required,dict (handler-defined shape),hospitality.update_menu,middleware: api.put on successful response (<400),update_restaurant_menu,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/menus/{menu_id}/approve,Admin session cookie required.,restaurant.menu.approve,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Restaurant resolved from resource ID, then assignment checked by handler.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; menu_id(path):string required,dict (handler-defined shape),hospitality.approve_menu,middleware: api.post on successful response (<400),approve_restaurant_menu,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/menus/{menu_id}/items,Admin session cookie required.,restaurant.menu.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Restaurant resolved from resource ID, then assignment checked by handler.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required; menu_id(path):string required,dict (handler-defined shape),hospitality.create_menu_item,middleware: api.post on successful response (<400),create_menu_item,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/menus/{menu_id}/publish,Admin session cookie required.,restaurant.menu.approve,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Restaurant resolved from resource ID, then assignment checked by handler.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; menu_id(path):string required,dict (handler-defined shape),hospitality.publish_menu,middleware: api.post on successful response (<400),publish_restaurant_menu,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/navigation/edges,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),create_navigation_edge,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/navigation/nodes,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),create_navigation_node,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/navigation/route,Admin session cookie required.,properties.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required; from_node_id(query):string required; to_node_id(query):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,admin_route,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/notifications/rules,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required,dict (handler-defined shape),hospitality.create_notification_rule,middleware: api.post on successful response (<400),create_notification_rule,app/main.py route + middleware + app/admin_route_policies.json
